Name;Default Price;Cities;Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eletroduto Em Aço Galvanizado ;14.04 ;Rio Branco,Maceió,Macapá,Santana,Manaus,Salvador,Feira de Santana,Fortaleza,Brasília,Feira de Santana,Vitória,Serra,Goiânia,Aparecida de Goiânia,Anápolis,São Luís,Imperatriz,Cuiabá,Várzea Grande,Belo Horizonte,Campo Grande,Anastácio,Aquidauana,Miranda,Corumbá,Dourados,Ponta Porã,Três Lagoas,Belém,Ananindeua,Castanhal,Paraupebas,Altamira,Santarém,João Pessoa,Recife,Olinda,Jaboatão dos Guararapes,Caruaru,Teresina,Parnaíba,Curitiba,Rio de Janeiro,Niterói,São Gonçalo,Natal,Porto Alegre,Porto Velho,Ariquemes,Jí Paraná,Vilhena,Boa Vista,Florianópolis,São Paulo,Aracaju;14.58,10.21,13.05,13.39,15.67,13.09,12.31,13.94,19.96,18.77,17.17,17.17,12.27,12.69,13.4,15.37,17.19,12.2,12.2,12.91,16.21,16.54,16.54,16.79,17.28,16.8,16.97,17.04,12.54,12.56,12.6,13.07,13.15,13.56,13.06,14.22,14.26,14.27,14.58,12.1,12.24,11.8,14.74,15.21,15.39,11.99,14.97,15.6,27.95,38.61,58.51,12.98,12.25,12.17,13.09,21.07,21.24,,,,,,,
Aço Ca-25 12,5 Mm;68.31 ;Rio Branco,Maceió,Macapá,Santana,Manaus,Salvador,Feira de Santana,Fortaleza,Brasília,Feira de Santana,Vitória,Serra,Goiânia,Aparecida de Goiânia,Anápolis,São Luís,Imperatriz,Cuiabá,Várzea Grande,Belo Horizonte,Campo Grande,Anastácio,Aquidauana,Miranda,Corumbá,Dourados,Ponta Porã,Três Lagoas,Belém,Ananindeua,Castanhal,Paraupebas,Altamira,Santarém,João Pessoa,Recife,Olinda,Jaboatão dos Guararapes,Caruaru,Teresina,Parnaíba,Curitiba,Rio de Janeiro,Niterói,São Gonçalo,Natal,Porto Alegre,Porto Velho,Ariquemes,Jí Paraná,Vilhena,Boa Vista,Florianópolis,São Paulo,Aracaju;91.32,78.15,68.4,73.87,58.74,71.43,56.82,60.61,53.62,57.45,71.85,63.8,54.46,60.34,70.48,89.35,93.03,59.8,59.8,65.39,55.03,58.48,58.48,61.02,66.16,61.13,62.96,67.12,69.22,69.31,69.58,72.69,73.23,75.97,65.63,59.77,59.05,58.99,53.74,61.18,64.64,57.13,69.04,70.26,70.71,91.89,69.45,76.47,71.21,66.68,58.2,59.59,62.01,68.88,64.86,91.2,76.2,,,,,,
Aço Ca-25 6,3 mm;18.28 ;Rio Branco,Maceió,Macapá,Santana,Manaus,Salvador,Feira de Santana,Fortaleza,Brasília,Feira de Santana,Vitória,Serra,Goiânia,Aparecida de Goiânia,Anápolis,São Luís,Imperatriz,Cuiabá,Várzea Grande,Belo Horizonte,Campo Grande,Anastácio,Aquidauana,Miranda,Corumbá,Dourados,Ponta Porã,Três Lagoas,Belém,Ananindeua,Castanhal,Paraupebas,Altamira,Santarém,João Pessoa,Recife,Olinda,Jaboatão dos Guararapes,Caruaru,Teresina,Parnaíba,Curitiba,Rio de Janeiro,Niterói,São Gonçalo,Natal,Porto Alegre,Porto Velho,Ariquemes,Jí Paraná,Vilhena,Boa Vista,Florianópolis,São Paulo,Aracaju;24.45,20.92,18.3,19.76,15.7,19.12,15.21,16.22,14.34,15.37,19.23,17.08,14.56,16.13,18.84,23.91,24.9,15.99,15.99,17.51,14.74,15.66,15.66,16.34,17.72,16.37,16.86,17.97,18.52,18.54,18.62,19.45,19.59,20.33,17.56,15.99,15.79,15.78,14.37,16.37,17.3,15.27,18.48,18.81,18.93,24.61,18.6,20.47,19.06,17.85,15.58,15.95,16.59,18.42,17.35,24.39,20.38,,,,,,
Aço Ca-25 8,0 mm;28.97 ;Rio Branco,Maceió,Macapá,Santana,Manaus,Salvador,Feira de Santana,Fortaleza,Brasília,Feira de Santana,Vitória,Serra,Goiânia,Aparecida de Goiânia,Anápolis,São Luís,Imperatriz,Cuiabá,Várzea Grande,Belo Horizonte,Campo Grande,Anastácio,Aquidauana,Miranda,Corumbá,Dourados,Ponta Porã,Três Lagoas,Belém,Ananindeua,Castanhal,Paraupebas,Altamira,Santarém,João Pessoa,Recife,Olinda,Jaboatão dos Guararapes,Caruaru,Teresina,Parnaíba,Curitiba,Rio de Janeiro,Niterói,São Gonçalo,Natal,Porto Alegre,Porto Velho,Ariquemes,Jí Paraná,Vilhena,Boa Vista,Florianópolis,São Paulo,Aracaju;38.76,33.18,29.04,31.36,24.92,30.28,24.09,25.69,22.76,24.39,30.48,27.06,23.1,25.6,29.9,37.86,39.42,25.37,25.37,27.74,23.33,24.79,24.79,25.87,28.05,25.92,26.69,28.46,29.34,29.38,29.49,30.81,31.04,32.2,27.82,25.37,25.06,25.04,22.81,25.94,27.41,24.24,29.28,29.8,29.99,38.97,29.46,32.43,30.2,28.28,24.68,25.26,26.29,29.22,27.48,38.66,32.3,,,,,,
Aço Ca-50 10,0 mm;44.38 ;Rio Branco,Maceió,Macapá,Santana,Manaus,Salvador,Feira de Santana,Fortaleza,Brasília,Feira de Santana,Vitória,Serra,Goiânia,Aparecida de Goiânia,Anápolis,São Luís,Imperatriz,Cuiabá,Várzea Grande,Belo Horizonte,Campo Grande,Anastácio,Aquidauana,Miranda,Corumbá,Dourados,Ponta Porã,Três Lagoas,Belém,Ananindeua,Castanhal,Paraupebas,Altamira,Santarém,João Pessoa,Recife,Olinda,Jaboatão dos Guararapes,Caruaru,Teresina,Parnaíba,Curitiba,Rio de Janeiro,Niterói,São Gonçalo,Natal,Porto Alegre,Porto Velho,Ariquemes,Jí Paraná,Vilhena,Boa Vista,Florianópolis,São Paulo,Aracaju;57.34,49.89,47.15,50.92,45.73,45.4,36.11,38.52,38.67,41.43,44.41,39.44,38.47,42.62,49.79,57.57,59.94,42.67,42.67,41.02,38.31,40.71,40.71,42.48,46.06,42.56,43.83,46.73,44.07,44.13,44.3,46.28,46.63,48.37,38.44,42.02,41.51,41.47,37.78,35.9,37.93,37.85,40.96,41.69,41.95,49.85,45.36,54.16,50.43,47.22,41.22,43.3,38.58,45.93,42.77,54.12,45.22,,,,,,
Aço Ca-50 12,5 Mm;67.02 ;Rio Branco,Maceió,Macapá,Santana,Manaus,Salvador,Feira de Santana,Fortaleza,Brasília,Feira de Santana,Vitória,Serra,Goiânia,Aparecida de Goiânia,Anápolis,São Luís,Imperatriz,Cuiabá,Várzea Grande,Belo Horizonte,Campo Grande,Anastácio,Aquidauana,Miranda,Corumbá,Dourados,Ponta Porã,Três Lagoas,Belém,Ananindeua,Castanhal,Paraupebas,Altamira,Santarém,João Pessoa,Recife,Olinda,Jaboatão dos Guararapes,Caruaru,Teresina,Parnaíba,Curitiba,Rio de Janeiro,Niterói,São Gonçalo,Natal,Porto Alegre,Porto Velho,Ariquemes,Jí Paraná,Vilhena,Boa Vista,Florianópolis,São Paulo,Aracaju;86.63,75.3,71.25,76.95,69.03,68.58,54.55,58.19,58.44,62.62,67.05,59.54,58.14,64.41,75.24,86.9,90.48,64.37,64.37,61.97,57.82,61.44,61.44,64.11,69.52,64.22,66.15,70.52,66.56,66.65,66.91,69.9,70.42,73.06,58.03,63.43,62.67,62.6,57.03,54.18,57.25,57.13,61.9,62.99,63.39,75.26,68.55,81.76,76.14,71.29,62.22,65.39,58.29,69.35,64.58,81.71,68.27,,,,,,
Aço Ca-50 6,3 mm;18.43 ;Rio Branco,Maceió,Macapá,Santana,Manaus,Salvador,Feira de Santana,Fortaleza,Brasília,Feira de Santana,Vitória,Serra,Goiânia,Aparecida de Goiânia,Anápolis,São Luís,Imperatriz,Cuiabá,Várzea Grande,Belo Horizonte,Campo Grande,Anastácio,Aquidauana,Miranda,Corumbá,Dourados,Ponta Porã,Três Lagoas,Belém,Ananindeua,Castanhal,Paraupebas,Altamira,Santarém,João Pessoa,Recife,Olinda,Jaboatão dos Guararapes,Caruaru,Teresina,Parnaíba,Curitiba,Rio de Janeiro,Niterói,São Gonçalo,Natal,Porto Alegre,Porto Velho,Ariquemes,Jí Paraná,Vilhena,Boa Vista,Florianópolis,São Paulo,Aracaju;23.85,20.7,19.61,21.18,19,18.84,14.99,15.99,16.08,17.23,18.45,16.38,16,17.72,20.71,23.91,24.9,17.7,17.7,17.03,15.9,16.89,16.89,17.63,19.11,17.66,18.19,19.39,18.3,18.32,18.39,19.22,19.36,20.08,15.96,17.46,17.25,17.23,15.69,14.91,15.75,15.72,17.03,17.33,17.44,20.7,18.86,22.5,20.96,19.62,17.13,17.99,16.05,19.07,17.76,22.48,18.78,,,,,,
Aço Ca-50 8,0 mm;33.11 ;Rio Branco,Maceió,Macapá,Santana,Manaus,Salvador,Feira de Santana,Fortaleza,Brasília,Feira de Santana,Vitória,Serra,Goiânia,Aparecida de Goiânia,Anápolis,São Luís,Imperatriz,Cuiabá,Várzea Grande,Belo Horizonte,Campo Grande,Anastácio,Aquidauana,Miranda,Corumbá,Dourados,Ponta Porã,Três Lagoas,Belém,Ananindeua,Castanhal,Paraupebas,Altamira,Santarém,João Pessoa,Recife,Olinda,Jaboatão dos Guararapes,Caruaru,Teresina,Parnaíba,Curitiba,Rio de Janeiro,Niterói,São Gonçalo,Natal,Porto Alegre,Porto Velho,Ariquemes,Jí Paraná,Vilhena,Boa Vista,Florianópolis,São Paulo,Aracaju;42.81,37.2,35.22,38.03,34.1,33.89,26.96,28.76,28.88,30.94,33.12,29.41,28.73,31.83,37.19,42.92,44.68,31.82,31.82,30.64,28.58,30.37,30.37,31.69,34.36,31.74,32.69,34.85,32.88,32.92,33.05,34.53,34.79,36.09,28.69,31.33,30.96,30.93,28.17,26.76,28.27,28.24,30.59,31.13,31.33,37.16,33.9,40.4,37.62,35.23,30.75,32.31,28.81,34.24,31.9,40.34,33.71,,,,,,
Aço Ca-60 4,2 mm;10.47 ;Rio Branco,Maceió,Macapá,Santana,Manaus,Salvador,Feira de Santana,Fortaleza,Brasília,Feira de Santana,Vitória,Serra,Goiânia,Aparecida de Goiânia,Anápolis,São Luís,Imperatriz,Cuiabá,Várzea Grande,Belo Horizonte,Campo Grande,Anastácio,Aquidauana,Miranda,Corumbá,Dourados,Ponta Porã,Três Lagoas,Belém,Ananindeua,Castanhal,Paraupebas,Altamira,Santarém,João Pessoa,Recife,Olinda,Jaboatão dos Guararapes,Caruaru,Teresina,Parnaíba,Curitiba,Rio de Janeiro,Niterói,São Gonçalo,Natal,Porto Alegre,Porto Velho,Ariquemes,Jí Paraná,Vilhena,Boa Vista,Florianópolis,São Paulo,Aracaju;13.53,11.76,11.13,12.02,10.79,10.71,8.52,9.09,9.13,9.79,10.48,9.31,9.08,10.06,11.76,13.58,14.14,10.05,10.05,9.68,9.04,9.61,9.61,10.02,10.87,10.04,10.34,11.03,10.4,10.41,10.46,10.92,11,11.42,9.07,9.9,9.78,9.77,8.9,8.47,8.95,8.93,9.66,9.83,9.89,11.76,10.71,12.77,11.89,11.13,9.72,10.22,9.1,10.84,10.1,12.77,10.67,,,,,,
Aço Ca-60 5,0 mm;13.96 ;Rio Branco,Maceió,Macapá,Santana,Manaus,Salvador,Feira de Santana,Fortaleza,Brasília,Feira de Santana,Vitória,Serra,Goiânia,Aparecida de Goiânia,Anápolis,São Luís,Imperatriz,Cuiabá,Várzea Grande,Belo Horizonte,Campo Grande,Anastácio,Aquidauana,Miranda,Corumbá,Dourados,Ponta Porã,Três Lagoas,Belém,Ananindeua,Castanhal,Paraupebas,Altamira,Santarém,João Pessoa,Recife,Olinda,Jaboatão dos Guararapes,Caruaru,Teresina,Parnaíba,Curitiba,Rio de Janeiro,Niterói,São Gonçalo,Natal,Porto Alegre,Porto Velho,Ariquemes,Jí Paraná,Vilhena,Boa Vista,Florianópolis,São Paulo,Aracaju;18.05,15.69,14.85,16.03,14.38,14.28,11.36,12.12,12.18,13.05,13.98,12.41,12.11,13.42,15.68,18.11,18.86,13.41,13.41,12.91,12.06,12.81,12.81,13.37,14.49,13.39,13.79,14.7,13.87,13.89,13.94,14.57,14.67,15.22,12.09,13.21,13.05,13.03,11.87,11.29,11.93,11.91,12.88,13.11,13.19,15.69,14.28,17.03,15.85,14.84,12.96,13.63,12.14,14.45,13.46,17.03,14.23,,,,,,
